Order ID,Order Date,Region,Customer Name,Sales,Profit
CA-2014-145317,18 Mar 2014,South,Sean Miller,23661.228,-1789.7326999999998
CA-2016-118689,2 Oct 2016,Central,Tamara Chand,18336.739999999998,8762.3891
CA-2017-140151,23 Mar 2017,West,Raymond Buch,14052.48,6734.472000000001
CA-2017-127180,22 Oct 2017,East,Tom Ashbrook,13716.458,4597.1657000000005
CA-2014-139892,8 Sept 2014,Central,Becky Martin,10539.896,-1878.7892
CA-2017-166709,17 Nov 2017,East,Hunter Lopez,10499.97,5039.9856
CA-2014-116904,23 Sept 2014,Central,Sanjit Chand,9900.19,4668.693499999999
CA-2016-117121,17 Dec 2016,Central,Adrian Barton,9892.74,4946.37
US-2016-107440,16 Apr 2016,East,Bill Shonely,9135.189999999999,2381.1596
CA-2016-158841,2 Feb 2016,South,Sanjit Engle,8805.04,2825.2861999999996
CA-2016-143714,23 May 2016,East,Christopher Conant,8539.02,1094.9532
CA-2014-143917,25 Jul 2014,West,Ken Lonsdale,8319.289999999999,376.8324
US-2017-168116,4 Nov 2017,South,Grant Thornton,8167.419999999999,-3825.3394000000003
US-2015-126977,17 Sept 2015,East,Peter Fuller,7678.228,543.2819
CA-2017-100111,20 Sept 2017,East,Seth Vernon,7359.918000000001,1571.7964
CA-2014-145541,14 Dec 2014,East,Tom Boeckenhauer,6999.96,2239.9872
CA-2015-145352,16 Mar 2015,South,Christopher Martinez,6412.7699999999995,3192.0681999999997
CA-2014-128209,17 Nov 2014,East,Greg Tran,6160.616,676.4639000000001
US-2016-143819,1 Mar 2016,East,Karen Daniels,6125.822,2253.4265
CA-2015-114811,8 Nov 2015,East,Keith Dawkins,5850.514,2509.0870999999997
CA-2017-138289,16 Jan 2017,Central,Andy Reiter,5802.7,2602.0939
US-2014-106992,19 Sept 2014,Central,Sean Braxton,5579.9400000000005,-761.9928
US-2016-140158,4 Oct 2016,East,Daniel Raglin,5549.41,2640.4798
CA-2017-143112,5 Oct 2017,East,Todd Sumrall,5509.142,1398.3494
CA-2017-135909,13 Oct 2017,West,Jane Waco,5325.884,1938.3775999999998
CA-2017-149881,1 Apr 2017,West,Nick Crebassa,5282.648,445.1748
CA-2016-108196,25 Nov 2016,East,Cindy Stewart,5016.548999999999,-6892.3748
CA-2016-136301,13 Mar 2016,West,Edward Hooks,4940.87,203.8564
US-2015-128587,24 Dec 2015,Central,Harry Marie,4909.610000000001,2306.7423
CA-2016-128818,7 May 2016,East,Caroline Jumper,4835.976,1322.1309999999999
CA-2016-100300,24 Jun 2016,West,Max Jones,4823.09,626.4
CA-2014-164973,4 Nov 2014,East,Nathan Mautz,4807.371999999999,2242.8403999999996
CA-2017-158379,22 Sept 2017,East,Joseph Airdo,4749.327,-1030.6439
CA-2016-138478,21 Oct 2016,West,Dennis Pardue,4685.076,1691.3097
CA-2014-168494,12 Dec 2014,West,Nora Preis,4630.5105,242.99159999999998
US-2017-167402,13 Jan 2017,Central,Cathy Prescott,4619.33,206.6524
CA-2015-111829,19 Mar 2015,West,Fred Hopkins,4607.2699999999995,1930.4623000000001
CA-2017-129021,23 Aug 2017,South,Patrick O'Brill,4590.344,358.546
CA-2014-144624,19 Nov 2014,East,John Murray,4548.81,1228.1787
CA-2017-121559,1 Jun 2017,Central,Helen Wasserman,4472.320000000001,1372.366
